id,text_time,user_text,bot_answer
1,"2020-12-17 16:05:12",👿,"Привет, ого, сколько злости!"
2,"2020-12-17 16:05:56",😃,"Кажется, у тебя получилось успокоиться!"
3,"2020-12-17 16:06:00",😃,"Как здорово, что тебе все радостней и радостней!"
4,"2020-12-17 16:06:27",😓,"Зачем же расстраиваться, все же было хорошо."
5,"2020-12-17 18:42:40",TEXT,"Я тебя не понимаю!"
6,"2020-12-17 18:43:01",TEXT,"Я тебя не понимаю!"
7,"2020-12-17 18:43:03",🥳,"Привет, я чувствую, что тебе очень радостно!"
8,"2020-12-17 18:43:10",🥳,"Как здорово, что тебе все радостней и радостней!"
9,"2020-12-17 18:43:34",😒,"Зачем же расстраиваться, все же было хорошо."
10,"2020-12-17 18:43:36",😒,"Мне жаль, что ты все еще грустишь"
